sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
50198	production	3.86074145E+03	6.16829702E+02	6.25900704E+00	0.00000000E+00	1361
50199	production	3.86383812E+03	6.17088848E+02	6.26139676E+00	0.00000000E+00	1344
50200	production	3.88267732E+03	6.17426007E+02	6.28849007E+00	0.00000000E+00	1252
50201	production	3.88451879E+03	6.19040110E+02	6.27506800E+00	0.00000000E+00	1182
50202	production	3.85806367E+03	6.18121709E+02	6.24159225E+00	0.00000000E+00	1146
50203	production	3.88390829E+03	6.19645909E+02	6.26794793E+00	0.00000000E+00	1119
50204	production	3.90431464E+03	6.18047649E+02	6.31717416E+00	0.00000000E+00	1144
50205	production	3.91269296E+03	6.17787663E+02	6.33339446E+00	0.00000000E+00	1127
50206	production	3.91100897E+03	6.17648408E+02	6.33209593E+00	0.00000000E+00	1142
50207	production	3.90410985E+03	6.17477925E+02	6.32267113E+00	0.00000000E+00	1119
50208	production	3.83998286E+03	6.15933280E+02	6.23441366E+00	0.00000000E+00	1154
50209	production	3.81934912E+03	6.15275290E+02	6.20754512E+00	0.00000000E+00	1117
50210	production	3.83536030E+03	6.16184092E+02	6.22437409E+00	0.00000000E+00	1167
50211	production	3.85136649E+03	6.16217438E+02	6.25001217E+00	0.00000000E+00	1187
50212	production	3.90423034E+03	6.18678697E+02	6.31059444E+00	0.00000000E+00	1207
50213	production	3.91534472E+03	6.18298227E+02	6.33245343E+00	0.00000000E+00	1162
50214	production	3.90344856E+03	6.17467370E+02	6.32170825E+00	0.00000000E+00	1192
50215	production	3.92309258E+03	6.17981552E+02	6.34823574E+00	0.00000000E+00	1162
50216	production	3.93698530E+03	6.17407410E+02	6.37664083E+00	0.00000000E+00	1176
50217	production	3.95230078E+03	6.17998535E+02	6.39532387E+00	0.00000000E+00	1198
50218	production	3.93581506E+03	6.17491388E+02	6.37387846E+00	0.00000000E+00	1240
50219	production	3.97106630E+03	6.17899511E+02	6.42671863E+00	0.00000000E+00	1224
50220	production	3.96586955E+03	6.18002922E+02	6.41723431E+00	0.00000000E+00	1227
50221	production	3.96507674E+03	6.18667906E+02	6.40905516E+00	0.00000000E+00	1209
50222	production	3.93499863E+03	6.18265711E+02	6.36457523E+00	0.00000000E+00	1189
50223	production	3.93230530E+03	6.18922087E+02	6.35347385E+00	0.00000000E+00	1191
50224	production	3.93842352E+03	6.18911225E+02	6.36347082E+00	0.00000000E+00	1243
50225	production	3.91356059E+03	6.17819620E+02	6.33447120E+00	0.00000000E+00	1197
50226	production	3.89149079E+03	6.18280809E+02	6.29405075E+00	0.00000000E+00	1254
50227	production	3.90878552E+03	6.18478719E+02	6.32000002E+00	0.00000000E+00	1260
50228	production	3.90542053E+03	6.18973266E+02	6.30951406E+00	0.00000000E+00	1252
50229	production	3.90565476E+03	6.19526792E+02	6.30425481E+00	0.00000000E+00	1275
50230	production	3.93374254E+03	6.19279002E+02	6.35213293E+00	0.00000000E+00	1230
50231	production	3.96154593E+03	6.19800632E+02	6.39164552E+00	0.00000000E+00	1198
50232	production	3.94879482E+03	6.19410784E+02	6.37508245E+00	0.00000000E+00	1230
50233	production	3.92230508E+03	6.19153325E+02	6.33494956E+00	0.00000000E+00	1233
50234	production	3.93050764E+03	6.19353463E+02	6.34614622E+00	0.00000000E+00	1254
50235	production	3.88983822E+03	6.18143635E+02	6.29277404E+00	0.00000000E+00	1269
50236	production	3.86984221E+03	6.17641041E+02	6.26551987E+00	0.00000000E+00	1237
50237	production	3.88197143E+03	6.17264090E+02	6.28899606E+00	0.00000000E+00	1246
50238	production	3.88310717E+03	6.17272654E+02	6.29074874E+00	0.00000000E+00	1250
50239	production	3.87481352E+03	6.17441441E+02	6.27559678E+00	0.00000000E+00	1308
50240	production	3.85024073E+03	6.16174733E+02	6.24861834E+00	0.00000000E+00	1307
50241	production	3.84296037E+03	6.15061130E+02	6.24809500E+00	0.00000000E+00	1314
50242	production	3.88840438E+03	6.15906950E+02	6.31329843E+00	0.00000000E+00	1303
50243	production	3.88837357E+03	6.16791098E+02	6.30419859E+00	0.00000000E+00	1299
50244	production	3.86012895E+03	6.16834014E+02	6.25797032E+00	0.00000000E+00	1303
50245	production	3.86662079E+03	6.17245723E+02	6.26431363E+00	0.00000000E+00	1322
50246	production	3.89847446E+03	6.17004867E+02	6.31838526E+00	0.00000000E+00	1315
50247	production	3.89825263E+03	6.18749786E+02	6.30020845E+00	0.00000000E+00	1324
50248	production	3.91757195E+03	6.18353322E+02	6.33549107E+00	0.00000000E+00	1302
50249	production	3.91541347E+03	6.19256002E+02	6.32277031E+00	0.00000000E+00	1308
50250	production	3.88917895E+03	6.19161663E+02	6.28136266E+00	0.00000000E+00	1311
50251	production	3.88156226E+03	6.19124175E+02	6.26944064E+00	0.00000000E+00	1309
50252	production	3.88207349E+03	6.19356333E+02	6.26791602E+00	0.00000000E+00	1297
50253	production	3.88089295E+03	6.20121357E+02	6.25827978E+00	0.00000000E+00	1309
50254	production	3.87472784E+03	6.20138200E+02	6.24816831E+00	0.00000000E+00	1351
50255	production	3.87727433E+03	6.19483050E+02	6.25888687E+00	0.00000000E+00	1320
50256	production	3.90457451E+03	6.21201959E+02	6.28551545E+00	0.00000000E+00	1271
50257	production	3.92344411E+03	6.21217672E+02	6.31573165E+00	0.00000000E+00	1295
50258	production	3.94162834E+03	6.21288417E+02	6.34428107E+00	0.00000000E+00	1305
